Planet 1
Position History (x, y, z)
0.0, 0.0, 0.0
4.1159553487701595e-09, 0.0, 0.0
1.2391455426795895e-08, 2.718670134580771e-10, 0.0
2.4888502401005847e-08, 1.1027568107319873e-09, 0.0
4.1688148663902005e-08, 2.8048743892612603e-09, 0.0
6.289099837732635e-08, 5.727349056209877e-09, 0.0
8.861724894661155e-08, 1.0271394606514997e-08, 0.0
1.1900562673657815e-07, 1.6910445528402466e-08, 0.0
1.5420994163850588e-07, 2.621780214613297e-08, 0.0
1.943907145203019e-07, 3.890566953938128e-08, 0.0
2.3969668934599916e-07, 5.5881612349838245e-08, 0.0
2.9022536845985626e-07, 7.833165791891295e-08, 0.0
3.459391402979749e-07, 1.0784333161708773e-07, 0.0
4.0648507768253705e-07, 1.4658351340700806e-07, 0.0
4.708023926884699e-07, 1.9752798828429076e-07, 0.0
5.362726769542969e-07, 2.6462829024836663e-07, 0.0
5.970400934958486e-07, 3.5233512576041053e-07, 0.0
6.41884545829764e-07, 4.626021643351748e-07, 0.0
6.566271465100549e-07, 5.876519112408398e-07, 0.0
6.373044557340576e-07, 7.09060223783195e-07, 0.0
5.94456052021692e-07, 8.134532061810998e-07, 0.0
5.402605372107747e-07, 8.985481157501187e-07, 0.0
4.823609671608948e-07, 9.66957906829783e-07, 0.0
4.2475629610830334e-07, 1.0219838832574508e-06, 0.0
3.6944236999583813e-07, 1.0664124618910294e-06, 0.0
3.174024140195398e-07, 1.1023901986374955e-06, 0.0
2.691108319782944e-07, 1.131543401248021e-06, 0.0
2.247834981930777e-07, 1.1551141301928209e-06, 0.0
1.8450434062692742e-07, 1.174067108533076e-06, 0.0
1.482912165172434e-07, 1.1891667609926865e-06, 0.0
1.1613121161982784e-07, 1.201031645756669e-06, 0.0
8.80000723483442e-08, 1.210173094772528e-06, 0.0
6.387317863412705e-08, 1.2170230783384695e-06, 0.0
4.373191412322179e-08, 1.2219547496537963e-06, 0.0
2.7567507483069697e-08, 1.2252980178376136e-06, 0.0
1.5383494952110142e-08, 1.2273517619643463e-06, 0.0
7.197461531427531e-09, 1.2283938240229063e-06, 0.0
3.0424480118703046e-09, 1.2286896216389768e-06, 0.0
2.968258213634795e-09, 1.228500047345495e-06, 0.0
7.042809713703416e-09, 1.2280892384683513e-06, 0.0
1.5353609727228634e-08, 1.22773279607774e-06, 0.0
2.8009382985917994e-08, 1.2277271036187473e-06, 0.0
4.514180763718672e-08, 1.2284005622064313e-06, 0.0
6.690719513022192e-08, 1.2301278572420422e-06, 0.0
9.348771991005163e-08, 1.2333488683634357e-06, 0.0
1.2509134099464785e-07, 1.23859465068649e-06, 0.0
1.619485956720511e-07, 1.2465242502828511e-06, 0.0
2.0430239669722782e-07, 1.2579782925480558e-06, 0.0
2.5238247060735825e-07, 1.2740587466915813e-06, 0.0
3.063459100196046e-07, 1.2962493370375144e-06, 0.0
3.661416962124842e-07, 1.3265963353740623e-06, 0.0
4.312017898413451e-07, 1.3679643009534224e-06, 0.0
4.997397319342539e-07, 1.4243139373350764e-06, 0.0
5.672491475874761e-07, 1.500611962590471e-06, 0.0
6.240743809112043e-07, 1.6008338097230366e-06, 0.0
6.554162911308214e-07, 1.7213579793237297e-06, 0.0
6.522933403666551e-07, 1.8458575347967453e-06, 0.0
6.214460422006946e-07, 1.9579161082913263e-06, 0.0
5.751068836345815e-07, 2.0520541769599314e-06, 0.0
5.220536827608301e-07, 2.129443727179921e-06, 0.0
4.672091158766046e-07, 2.192906042039685e-06, 0.0
4.1317358396476334e-07, 2.245103171314524e-06, 0.0
3.613180837736879e-07, 2.288174772310242e-06, 0.0
3.12373171336592e-07, 2.3237753649939755e-06, 0.0
2.667309414313385e-07, 2.353182490048029e-06, 0.0
2.2460153436293304e-07, 2.3773944401630823e-06, 0.0
1.8609659167850955e-07, 2.3972045945540625e-06, 0.0
1.512752275081093e-07, 2.4132553876105743e-06, 0.0
1.2017018563900778e-07, 2.4260772141849082e-06, 0.0
9.280321235146073e-08, 2.4361167374326643e-06, 0.0
6.919441418339719e-08, 2.443757857731975e-06, 0.0
4.9368205426792544e-08, 2.4493376252714317e-06, 0.0
3.3357316390367515e-08, 2.4531586907717465e-06, 0.0
2.1205722231974235e-08, 2.455499429608496e-06, 0.0
1.2971014217777525e-08, 2.456622579997161e-06, 0.0
8.726544273282068e-09, 2.456783058731031e-06, 0.0
8.563563084826238e-09, 2.456235529166491e-06, 0.0
1.2593504476789594e-08, 2.4552422820382834e-06, 0.0
2.0950520388803e-08, 2.454082050416687e-06, 0.0
3.379432096789349e-08, 2.453060530851371e-06, 0.0
5.1313296593262623e-08, 2.452523658629958e-06, 0.0
7.372774660500931e-08, 2.4528751520325234e-06, 0.0
1.0129271867535233e-07, 2.454600615385538e-06, 0.0
1.3429926803140028e-07, 2.4583017766967485e-06, 0.0
1.730714128461424e-07, 2.4647465769584773e-06, 0.0
2.179526023689377e-07, 2.4749443698203266e-06, 0.0
2.6926749108965434e-07, 2.490261110186587e-06, 0.0
3.2722569170016806e-07, 2.5125970321963885e-06, 0.0
3.9168789200023914e-07, 2.544653178605186e-06, 0.0
4.6160587194355655e-07, 2.5902787956188497e-06, 0.0
5.337380335232136e-07, 2.6546632419802527e-06, 0.0
6.002054172698636e-07, 2.7432030771819976e-06, 0.0
6.467641459456761e-07, 2.856077275370355e-06, 0.0
6.604595100033982e-07, 2.980468234414701e-06, 0.0
6.432238751029976e-07, 3.0981711206129195e-06, 0.0
6.063919770454052e-07, 3.200278387363675e-06, 0.0
5.596368817021311e-07, 3.2861026566102666e-06, 0.0
5.088044960013344e-07, 3.357752244053788e-06, 0.0
4.571362941505276e-07, 3.417650638215583e-06, 0.0
4.0642278846988127e-07, 3.4678716341362123e-06, 0.0
3.5767358059764883e-07, 3.5100646467672424e-06, 0.0
3.1147305684325057e-07, 3.545522157400233e-06, 0.0
2.6816896515008376e-07, 3.5752624016862646e-06, 0.0
2.2797495309041594e-07, 3.6000981221419613e-06, 0.0
1.9102818415744102e-07, 3.6206885512968376e-06, 0.0
1.5742284414753438e-07, 3.6375777190895037e-06, 0.0
1.2723031870826703e-07, 3.651222684335614e-06, 0.0
1.005118042092979e-07, 3.6620145981151436e-06, 0.0
7.732653643306922e-08, 3.6702947364470528e-06, 0.0
5.7737458320180495e-08, 3.6763670352596893e-06, 0.0
4.181540652328728e-08, 3.680508235261409e-06, 0.0
2.964248347501055e-08, 3.6829764619675765e-06, 0.0
2.1315047572110608e-08, 3.684018891239463e-06, 0.0
1.6946620237852368e-08, 3.6838790587676186e-06, 0.0
1.6670931796790317e-08, 3.6828043507841852e-06, 0.0
2.0645282363612822e-08, 3.6810542629389454e-06, 0.0
2.90543601341755e-08, 3.6789101486143738e-06, 0.0
4.211461653322967e-08, 3.6766874297430697e-06, 0.0
6.007921124853356e-08, 3.6747516746679776e-06, 0.0
8.324334060019056e-08, 3.673540670757275e-06, 0.0
1.1194929580590456e-07, 3.6735958330730993e-06, 0.0
1.4658950702700442e-07, 3.675608343454136e-06, 0.0
1.8760326148667698e-07, 3.680488900413869e-06, 0.0
2.3545663062679088e-07, 3.689475781201429e-06, 0.0
2.9058004573452474e-07, 3.704304897089684e-06, 0.0
3.532002146942156e-07, 3.7274753944272466e-06, 0.0
4.229095683988115e-07, 3.762633925947649e-06, 0.0
4.976101837113059e-07, 3.814959125971769e-06, 0.0
5.712458107955735e-07, 3.8907236106890695e-06, 0.0
6.310159888799863e-07, 3.99327603363795e-06, 0.0
6.61421299360458e-07, 4.11420482897761e-06, 0.0
6.59068105681093e-07, 4.235136089289719e-06, 0.0
6.332842017865792e-07, 4.343816816245526e-06, 0.0
5.942493889052529e-07, 4.4372953248869784e-06, 0.0
5.486812359146214e-07, 4.5167024159367255e-06, 0.0
5.004832921557518e-07, 4.584088101207004e-06, 0.0
4.5189200341721737e-07, 4.641390145699757e-06, 0.0
4.0421663866252083e-07, 4.690213345273734e-06, 0.0
3.582487315129818e-07, 4.731840930678125e-06, 0.0
3.144842573040143e-07, 4.76729516110422e-06, 0.0
2.732465372348593e-07, 4.797397033378589e-06, 0.0
2.3475638209766676e-07, 4.822814454083121e-06, 0.0
1.9917352859742617e-07, 4.8440989193899984e-06, 0.0
1.666220020667915e-07, 4.861713053842102e-06, 0.0
1.3720623102049117e-07, 4.876051379792271e-06, 0.0
1.1102172216435672e-07, 4.887456214156118e-06, 0.0
8.81624946205233e-08, 4.896230112062394e-06, 0.0
6.87265896206401e-08, 4.902645907589463e-06, 0.0
5.282047688166726e-08, 4.906955143568928e-06, 0.0
4.056289700089794e-08, 4.909395516403673e-06, 0.0
3.208851859772916e-08, 4.910197870530402e-06, 0.0
2.7551699619475482e-08, 4.909593251029711e-06, 0.0
2.7130595631533508e-08, 4.907820562395117e-06, 0.0
3.10318354017474e-08, 4.905135499395606e-06, 0.0
3.949596884082492e-08, 4.901821642458044e-06, 0.0
5.280385996827096e-08, 4.898205002827243e-06, 0.0
7.128409915285189e-08, 4.894673967026904e-06, 0.0
9.532123336924926e-08, 4.891707715177995e-06, 0.0
